,burger,fries,salad,shake,hour,store_1.0,store_2.0,store_3.0,store_4.0,store_5.0,store_6.0,store_7.0,store_8.0,store_9.0,predict_cluster_kmeans,store
0,4,4,0,4,19,0,0,1,0,0,0,0,0,0,0,3.0
1,1,1,0,0,00,0,0,0,0,0,1,0,0,0,1,6.0
2,0,3,3,0,14,0,0,0,0,0,0,0,1,0,2,8.0
3,0,3,3,0,11,0,0,0,0,0,0,0,1,0,2,8.0
4,4,4,0,4,19,0,0,0,0,0,0,1,0,0,0,7.0
5,2,2,0,1,00,0,0,1,0,0,0,0,0,0,1,3.0
6,4,4,0,4,17,0,0,0,1,0,0,0,0,0,0,4.0
7,3,4,1,3,21,0,0,0,0,0,0,1,0,0,0,7.0
8,0,3,3,0,12,0,0,1,0,0,0,0,0,0,2,3.0
9,3,3,0,3,17,1,0,0,0,0,0,0,0,0,0,1.0
10,2,2,0,1,00,0,0,1,0,0,0,0,0,0,1,3.0
11,3,3,0,3,18,0,0,0,0,0,0,0,0,1,0,9.0
12,2,2,0,1,00,0,0,0,0,0,0,1,0,0,1,7.0
13,1,1,0,1,18,0,0,1,0,0,0,0,0,0,0,3.0
14,3,4,1,3,17,0,0,0,0,1,0,0,0,0,0,5.0
15,5,5,0,1,23,0,0,0,0,0,1,0,0,0,0,6.0
16,4,4,0,4,18,0,0,0,0,0,0,0,0,1,0,9.0
17,2,2,0,1,23,0,0,0,0,0,0,0,0,1,0,9.0
18,4,4,0,4,18,0,0,0,0,0,0,1,0,0,0,7.0
19,0,4,4,0,12,0,0,1,0,0,0,0,0,0,2,3.0
20,1,1,0,0,00,0,1,0,0,0,0,0,0,0,1,2.0
21,2,2,0,1,00,0,0,0,0,0,0,0,1,0,1,8.0
22,0,1,1,0,12,0,0,0,0,0,0,1,0,0,2,7.0
23,0,3,3,0,11,0,0,0,0,1,0,0,0,0,2,5.0
24,1,1,0,0,01,0,0,0,0,0,0,0,1,0,1,8.0
25,1,3,2,0,12,0,0,1,0,0,0,0,0,0,2,3.0
26,2,3,1,2,18,0,0,0,0,1,0,0,0,0,0,5.0
27,2,2,0,0,00,0,0,0,0,1,0,0,0,0,1,5.0
28,5,5,0,0,00,0,1,0,0,0,0,0,0,0,1,2.0
29,2,2,0,1,00,0,0,0,0,0,0,1,0,0,1,7.0
30,1,2,1,1,13,0,0,1,0,0,0,0,0,0,2,3.0
31,5,5,0,5,18,0,0,0,1,0,0,0,0,0,0,4.0
32,0,3,3,0,11,1,0,0,0,0,0,0,0,0,2,1.0
33,4,4,0,4,20,0,0,0,0,0,0,0,0,1,0,9.0
34,1,1,0,1,00,0,0,0,0,0,1,0,0,0,1,6.0
35,0,4,4,0,12,0,0,0,0,0,0,0,1,0,2,8.0
36,4,4,0,4,18,0,1,0,0,0,0,0,0,0,0,2.0
37,1,1,0,1,00,0,0,0,0,1,0,0,0,0,1,5.0
38,0,4,4,0,12,0,0,0,0,0,0,0,0,1,2,9.0
39,4,4,0,4,20,0,0,0,0,0,0,0,1,0,0,8.0
40,0,3,3,0,13,1,0,0,0,0,0,0,0,0,2,1.0
41,0,1,1,0,12,0,0,0,0,1,0,0,0,0,2,5.0
42,2,2,0,0,23,0,0,0,0,0,1,0,0,0,0,6.0
43,1,3,2,0,11,1,0,0,0,0,0,0,0,0,2,1.0
44,4,4,0,4,15,0,0,0,0,0,0,1,0,0,0,7.0
45,4,4,0,4,18,0,0,0,0,0,0,0,0,1,0,9.0
46,2,2,0,0,23,0,0,0,0,0,1,0,0,0,0,6.0
47,1,1,0,1,00,0,0,0,0,0,0,0,1,0,1,8.0
48,0,1,1,0,18,0,0,0,0,0,0,0,0,1,0,9.0
49,0,3,3,0,12,0,0,1,0,0,0,0,0,0,2,3.0
50,4,4,0,4,19,0,0,0,1,0,0,0,0,0,0,4.0
51,2,2,0,0,01,0,0,0,0,0,1,0,0,0,1,6.0
52,1,1,0,0,00,0,0,0,0,0,1,0,0,0,1,6.0
53,0,1,1,0,11,0,0,0,0,0,1,0,0,0,2,6.0
54,4,4,0,4,19,0,0,0,0,0,0,0,0,1,0,9.0
55,2,2,0,2,18,0,0,0,0,0,0,0,0,1,0,9.0
56,1,3,2,0,11,0,1,0,0,0,0,0,0,0,2,2.0
57,5,5,0,5,18,0,0,0,0,0,0,0,0,1,0,9.0
58,1,1,0,0,00,0,0,0,0,0,0,1,0,0,1,7.0
59,2,2,0,0,23,0,0,0,0,0,0,0,1,0,0,8.0
60,2,2,0,2,16,0,0,0,1,0,0,0,0,0,0,4.0
61,4,5,1,1,23,0,1,0,0,0,0,0,0,0,0,2.0
62,1,1,0,0,23,0,0,0,0,0,1,0,0,0,0,6.0
63,4,4,0,1,01,0,0,0,0,0,1,0,0,0,1,6.0
64,4,4,0,4,18,0,0,0,0,0,0,1,0,0,0,7.0
65,4,4,0,1,00,0,0,1,0,0,0,0,0,0,1,3.0
66,2,2,0,1,00,0,0,0,0,0,0,0,1,0,1,8.0
67,3,3,0,3,17,0,1,0,0,0,0,0,0,0,0,2.0
68,3,3,0,3,18,0,0,0,0,0,0,0,0,1,0,9.0
69,1,1,0,0,01,0,1,0,0,0,0,0,0,0,1,2.0
70,4,4,0,4,21,0,0,0,0,0,0,1,0,0,0,7.0
71,4,4,0,4,17,0,0,0,0,0,0,1,0,0,0,7.0
72,3,4,1,3,18,0,0,0,0,0,0,1,0,0,0,7.0
73,1,2,1,0,12,0,0,1,0,0,0,0,0,0,2,3.0
74,0,4,4,0,11,1,0,0,0,0,0,0,0,0,2,1.0
75,2,2,0,2,19,0,0,0,0,0,0,0,0,1,0,9.0
76,4,4,0,4,19,0,0,0,0,0,0,0,0,1,0,9.0
77,5,5,0,1,00,0,0,0,0,0,0,1,0,0,1,7.0
78,0,2,2,0,12,0,0,0,0,0,0,1,0,0,2,7.0
79,0,2,2,0,11,0,0,0,1,0,0,0,0,0,2,4.0
80,0,1,1,0,15,0,0,0,0,1,0,0,0,0,2,5.0
81,4,4,0,4,18,0,0,0,0,0,0,0,0,1,0,9.0
82,0,2,2,0,12,0,0,1,0,0,0,0,0,0,2,3.0
83,3,3,0,3,16,0,0,0,1,0,0,0,0,0,0,4.0
84,0,3,3,0,11,0,0,0,0,1,0,0,0,0,2,5.0
85,0,2,2,0,20,0,0,1,0,0,0,0,0,0,0,3.0
86,1,1,0,0,00,0,0,0,0,0,0,1,0,0,1,7.0
87,4,4,0,4,17,0,0,0,0,0,0,0,0,1,0,9.0
88,2,2,0,0,23,0,0,0,0,0,1,0,0,0,0,6.0
89,0,2,2,0,13,0,0,0,0,1,0,0,0,0,2,5.0
90,5,5,0,5,19,0,0,0,1,0,0,0,0,0,0,4.0
91,4,4,0,4,17,0,0,0,1,0,0,0,0,0,0,4.0
92,1,1,0,0,00,0,0,0,0,0,1,0,0,0,1,6.0
93,3,4,1,3,18,0,0,0,1,0,0,0,0,0,0,4.0
94,5,5,0,5,16,0,0,0,0,0,0,0,0,1,0,9.0
95,4,4,0,4,17,0,0,0,0,0,0,1,0,0,0,7.0
96,5,5,0,2,00,0,1,0,0,0,0,0,0,0,1,2.0
97,0,1,1,0,11,0,0,1,0,0,0,0,0,0,2,3.0
98,0,1,1,0,13,0,0,1,0,0,0,0,0,0,2,3.0
99,1,1,0,0,01,0,0,0,0,0,0,0,1,0,1,8.0
100,4,4,0,4,15,1,0,0,0,0,0,0,0,0,0,1.0
101,4,4,0,4,19,0,0,1,0,0,0,0,0,0,0,3.0
102,2,2,0,0,00,0,0,0,1,0,0,0,0,0,1,4.0
103,1,2,1,1,14,0,0,1,0,0,0,0,0,0,2,3.0
104,0,1,1,0,12,0,0,1,0,0,0,0,0,0,2,3.0
105,0,3,3,0,12,0,0,1,0,0,0,0,0,0,2,3.0
106,0,1,1,0,11,0,0,1,0,0,0,0,0,0,2,3.0
107,0,1,1,0,13,0,0,0,0,0,0,0,1,0,2,8.0
108,5,5,0,5,19,0,0,0,0,0,0,1,0,0,0,7.0
109,1,1,0,0,00,0,1,0,0,0,0,0,0,0,1,2.0
110,1,1,0,1,18,0,0,1,0,0,0,0,0,0,0,3.0
111,3,3,0,1,00,0,0,0,0,0,1,0,0,0,1,6.0
112,0,1,1,0,00,0,1,0,0,0,0,0,0,0,1,2.0
113,1,3,2,0,12,0,0,0,0,0,0,0,1,0,2,8.0
114,3,3,0,3,19,0,0,0,0,0,0,1,0,0,0,7.0
115,0,3,3,0,12,1,0,0,0,0,0,0,0,0,2,1.0
116,1,1,0,0,00,0,0,0,0,0,1,0,0,0,1,6.0
117,3,3,0,3,16,0,0,0,0,0,0,1,0,0,0,7.0
118,1,2,1,1,11,0,0,0,0,0,0,0,0,1,2,9.0
119,5,5,0,5,18,0,0,0,1,0,0,0,0,0,0,4.0
120,0,2,2,0,15,1,0,0,0,0,0,0,0,0,2,1.0
121,3,4,1,2,19,0,0,0,1,0,0,0,0,0,0,4.0
122,1,1,0,0,00,0,0,0,0,0,1,0,0,0,1,6.0
